fecha,equipo,rival,entrenador,alineacion,goles_a_favor,goles_en_contra,resultado,puntos,puntos_acumulados,resultado_texto,estadio,ciudad,capacidad,altitud,disparos,disparos_al_arco,posesion,pases,pases_completados_en_porcentaje,faltas,tarjetas_amarillas,tarjetas_rojas,offsides,corners,jornada
2024-10-11,Uruguay,Peru,Marcelo Bielsa,3-5-2,0,1,0-1,0,15,Derrota,Estadio Nacional de Lima,Lima,50086,505,8,3,63,539,82,6,1,0,1,2,09
2024-10-15,Colombia,Chile,Nestor Lorenzo,4-3-3,4,0,4-0,3,19,Victoria,Estadio Metropolitano,Barranquilla,46692,59,18,9,63,438,87,16,2,0,8,5,10
2024-10-15,Chile,Colombia,Ricardo Gareca,4-2-3-1,0,4,0-4,0,5,Derrota,Estadio Metropolitano,Barranquilla,46692,59,8,2,37,261,72,15,2,0,0,2,10
2024-10-15,Paraguay,Venezuela,Gustavo Alfaro,4-2-3-1,2,1,2-1,3,13,Victoria,Estadio Defensores del Chaco,Asunción,42354,141,13,6,61,401,76,10,2,0,2,5,10
2024-10-15,Venezuela,Paraguay,Fernando Batista,4-2-3-1,1,2,1-2,0,11,Derrota,Estadio Defensores del Chaco,Asunción,42354,141,6,3,39,275,66,17,6,0,2,1,10
2024-10-15,Uruguay,Ecuador,Marcelo Bielsa,4-2-3-1,0,0,0-0,1,16,Empate,Estadio Centenario,Montevideo,60235,141,11,4,55,435,81,14,1,0,1,6,10
2024-10-15,Ecuador,Uruguay,Sebastián Beccacece,5-3-2,0,0,0-0,1,13,Empate,Estadio Centenario,Montevideo,60235,141,8,4,45,351,78,12,1,0,0,5,10
2024-10-15,Argentina,Bolivia,Lionel Scaloni,4-3-3,6,0,6-0,3,22,Victoria,Estadio Mas Monumental,Buenos Aires,85018,82,14,10,73,795,93,10,0,0,3,4,10
2024-10-15,Bolivia,Argentina,Oscar Villegas,5-4-1,0,6,0-6,0,12,Derrota,Estadio Mas Monumental,Buenos Aires,85018,82,4,1,27,304,81,13,1,0,0,0,10
2024-10-15,Brazil,Peru,Dorival Júnior,4-2-3-1,4,0,4-0,3,16,Victoria,Arena BRB Mané Garrincha,Brasilia,69910,3845,18,8,69,506,90,10,1,0,0,6,10
2024-10-15,Peru,Brazil,Jorge Fossati,3-5-2,0,4,0-4,0,6,Derrota,Arena BRB Mané Garrincha,Brasilia,69910,3845,3,2,31,240,76,17,5,0,3,1,10
2024-11-14,Venezuela,Brazil,Leandro Cufré,4-2-3-1,1,1,1-1,1,12,Empate,Estadio Monumental de Maturín,Maturin,51796,220,12,5,33,213,77,14,4,1,5,3,11
2024-11-14,Brazil,Venezuela,Dorival Júnior,4-2-3-1,1,1,1-1,1,17,Empate,Estadio Monumental de Maturín,Maturin,51796,220,13,4,67,438,83,12,2,0,2,9,11
2024-11-14,Paraguay,Argentina,Gustavo Alfaro,4-4-2,2,1,2-1,3,16,Victoria,Estadio Defensores del Chaco,Asunción,42354,141,8,2,23,184,65,17,3,0,2,6,11
2024-11-14,Argentina,Paraguay,Lionel Scaloni,4-2-3-1,1,2,1-2,0,22,Derrota,Estadio Defensores del Chaco,Asunción,42354,141,9,1,77,650,87,9,1,0,1,2,11
2024-11-14,Ecuador,Bolivia,Sebastián Beccacece,4-5-1,4,0,4-0,3,16,Victoria,Estadio Monumental Isidro Romero Carbo,Guayaquil,59283,13,28,15,79,661,94,13,0,0,1,12,11
2024-11-14,Bolivia,Ecuador,Oscar Villegas,4-2-3-1,0,4,0-4,0,12,Derrota,Estadio Monumental Isidro Romero Carbo,Guayaquil,59283,13,1,1,21,180,65,5,1,1,0,1,11
2024-11-15,Uruguay,Colombia,Marcelo Bielsa,4-2-3-1,3,2,3-2,3,19,Victoria,Estadio Centenario,Montevideo,60235,141,10,5,44,360,82,18,4,0,2,6,11
2024-11-15,Colombia,Uruguay,Nestor Lorenzo,4-4-2,2,3,2-3,0,19,Derrota,Estadio Centenario,Montevideo,60235,141,10,4,56,465,89,14,2,0,1,1,11
2024-11-15,Peru,Chile,Jorge Fossati,3-5-2,0,0,0-0,1,7,Empate,"Estadio Monumental ""U""",Lima,80093,505,13,6,40,304,75,10,2,0,2,4,11
2024-11-15,Chile,Peru,Ricardo Gareca,4-4-2,0,0,0-0,1,6,Empate,"Estadio Monumental ""U""",Lima,80093,505,13,5,60,450,82,11,3,0,1,8,11
2024-11-19,Bolivia,Paraguay,Oscar Villegas,4-3-3,2,2,2-2,1,13,Empate,Estadio Municipal de El Alto,El Alto,22000,13615,11,5,65,494,90,7,0,1,1,4,12
2024-11-19,Paraguay,Bolivia,Gustavo Alfaro,5-4-1,2,2,2-2,1,17,Empate,Estadio Municipal de El Alto,El Alto,22000,13615,13,4,35,269,81,10,0,1,0,1,12
2024-11-19,Colombia,Ecuador,Nestor Lorenzo,4-4-2,0,1,0-1,0,19,Derrota,Estadio Metropolitano,Barranquilla,46692,59,25,7,67,523,88,12,3,0,5,5,12
2024-11-19,Ecuador,Colombia,Sebastián Beccacece,4-5-1,1,0,1-0,3,19,Victoria,Estadio Metropolitano,Barranquilla,46692,59,4,1,33,278,74,11,2,1,0,2,12
2024-11-19,Argentina,Peru,Lionel Scaloni,4-3-3,1,0,1-0,3,25,Victoria,Estadio La Bombonera,Buenos Aires,57200,82,11,3,74,802,92,10,0,0,1,2,12
2024-11-19,Peru,Argentina,Jorge Fossati,3-5-2,0,1,0-1,0,7,Derrota,Estadio La Bombonera,Buenos Aires,57200,82,2,0,26,277,72,18,3,0,1,1,12
2024-11-19,Chile,Venezuela,Ricardo Gareca,4-2-3-1,4,2,4-2,3,9,Victoria,Estadio Nacional Julio Martínez Pradanos,Nunoa,48665,13123,8,5,62,514,83,9,1,0,5,1,12
2024-11-19,Venezuela,Chile,Fernando Batista,4-2-3-1,2,4,2-4,0,12,Derrota,Estadio Nacional Julio Martínez Pradanos,Nunoa,48665,13123,8,3,38,321,75,13,3,0,2,4,12
2024-11-19,Brazil,Uruguay,Dorival Júnior,4-2-2-2,1,1,1-1,1,18,Empate,Fonte Nova Arena,Bahia,48902,6360,18,3,62,530,90,15,3,0,1,4,12
2024-11-19,Uruguay,Brazil,Marcelo Bielsa,4-3-3,1,1,1-1,1,20,Empate,Fonte Nova Arena,Bahia,48902,6360,8,2,38,329,84,11,2,0,1,2,12
2025-03-20,Paraguay,Chile,Gustavo Alfaro,4-4-2,1,0,1-0,3,20,Victoria,Estadio Defensores del Chaco,Asunción,42354,141,16,5,35,271,75,10,0,0,2,6,13
2025-03-20,Chile,Paraguay,Ricardo Gareca,4-2-3-1,0,1,0-1,0,9,Derrota,Estadio Defensores del Chaco,Asunción,42354,141,9,3,65,503,84,11,0,0,3,4,13
2025-03-20,Brazil,Colombia,Dorival Júnior,4-4-2,2,1,2-1,3,21,Victoria,Arena BRB Mané Garrincha,Brasilia,69910,3845,17,7,52,375,83,15,3,0,0,4,13
2025-03-20,Colombia,Brazil,Nestor Lorenzo,4-2-3-1,1,2,1-2,0,19,Derrota,Arena BRB Mané Garrincha,Brasilia,69910,3845,10,3,48,356,83,24,1,0,4,2,13
2025-03-20,Peru,Bolivia,Oscar  Ibáñez,4-3-2-1,3,1,3-1,3,10,Victoria,Estadio Nacional de Lima,Lima,50086,505,12,7,51,411,80,10,0,0,2,3,13
2025-03-20,Bolivia,Peru,Oscar Villegas,4-3-3,1,3,1-3,0,13,Derrota,Estadio Nacional de Lima,Lima,50086,505,15,5,49,396,85,17,0,0,0,4,13
2025-03-21,Ecuador,Venezuela,Sebastián Beccacece,4-2-3-1,2,1,2-1,3,22,Victoria,Casa Blanca,Quito,41575,9350,16,6,71,570,89,13,1,0,2,5,13
2025-03-21,Venezuela,Ecuador,Fernando Batista,4-3-3,1,2,1-2,0,12,Derrota,Casa Blanca,Quito,41575,9350,10,6,29,232,71,13,2,0,2,2,13
2025-03-21,Uruguay,Argentina,Marcelo Bielsa,4-3-3,0,1,0-1,0,20,Derrota,Estadio Centenario,Montevideo,60235,141,6,2,55,520,85,11,2,0,0,4,13
2025-03-21,Argentina,Uruguay,Lionel Scaloni,4-2-3-1,1,0,1-0,3,28,Victoria,Estadio Centenario,Montevideo,60235,141,12,4,45,432,81,11,1,1,0,3,13
